product_name;generic_name;quantity;packaging_tags;brands;categories_tags;origins;manufacturing_places;labels_tags;purchase_places;stores;countries_fr;ingredients_text;traces_tags;additives_tags;pnns_groups_1;main_category_fr
Pepsi;;;;;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fresh-foods,en:fruits-and-vegetables-based-foods,en:groceries,en:condiments,en:fresh-plant-based-foods,en:vegetables-based-foods,en:culinary-plants,en:fresh-vegetables,en:onions-and-their-products,en:onions;;;;;;Royaume-Uni;INGREDIENTS Herring (51%), Marinade (39%), Gherkin (4%), Shallots (4%), Yellow Mustard Seeds, Dill, Onion Extract, Allspice Extract, Acetic Acid. Marinade contains Water · Sugar · White Wime Vinegar · Salt · Antioxidant: Tartaric Acid.  ;;;Fruits and vegetables;Légumes frais
Pates Langue d'oiseau;;33cl;canette;Pepsi;en:beverages,en:carbonated-drinks,en:sodas,en:sugared-beverages;;;;;;France;Pommes de terre (29%), Blanc de poulet cuit (23%), Tomates (11%), Eau, Crème aigre britannique (_Lait_) (8%), Oignons, Poivrons de piquillo (3%), Poivrons rouges, Purée d’ail, Jus de citron vert, Oignons rouges, Concentré de tomate, Huile de colza, Fécule de mais, Épices moulues (Paprika fumé, Cumin, Poivre noir, Poivre blanc, Piment de Cayenne, Paprika), Fécule de pomme de terre, Thym, Vinaigre de cidre, Sel, Coriandre, Eau fumée au bois de chêne d’Anglesey, Sel fumé, Sucre, Piments rouges, Graines de cumin, Huile de tournesol, Vinaigre de vin blanc, Piments Chipotle déshydratés, Tomates séchées, Gélifiant : Pectine, Correcteur d’acidité : Acide citrique, Romarin moulu, Arômes.;;;Beverages;Sodas
Huile d'olive Monini;;500 g;;;;;;;;;France;Sugar, Raspberries, Acidity Regulators (Citric Acid, Sodium Citrate), Gelling Agent (Pectin)  ;;;;
30 Panach' Fruits;;1 l.;;;;;;;;;France;broccoli;;;;
Foie gras de canard du Périgord;Assortiment de cakes fourrés aux fruits;980g;boite,carton,plastique;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,fr:gouters-individuels;;France;;France;;France;_Fromage_ cheddar jeune (_Lait_) (94%) . Oignon émincé réhydraté ‘ Cjbouje’çte Iyqphghsep. gPour les allergenes, vour‘les mgredlents mdlques en  ;en:nuts,en:soybeans;en:e440,en:e330,en:e331,en:e202,en:e422,en:e503,en:e500,en:e450,en:e471,en:e502;Sugary snacks;Gâteaux
Médaillon au foie gras de canard et aux champignons;;100 g;conserve;;en:fish-and-meat-and-eggs,fr:foies-gras,fr:foies-gras-de-canard;;;;;;France;sparkling filtered water (sweetened by a blend of cane sugar, pineapple juice from concentrate and honey), fresh ginger root, lemon and lime juices from concentrate and spices;;;unknown;Poissons et viandes et oeufs
Terrine de magret de canard au Sauternes;;100 g;;Le Moulin de Moreau-Sarlat;;;;;;;France;vinaigre de vin, moult de raisin concentré, colorant E150d, antioxygène: sulfites (E224);;;unknown;
Fluteaux de jambon;;100 g;;Le Moulin de Moreau-Sarlat;;;;;;;France;Fortified British Wheat Flour (Wheat Flour, Calcium Carbonate, Niacin, Iron, Thiamin).  ;;;unknown;
Foie gras canard Périgord;;200 g;barquette;;;;;;;;France;"Riz basmati cuit (38%) (Eau, Riz basmati)""; Bouillon de porc rôti (Eau, Os de porc, Extrait de levure, Sel, Sucre); Haricots noirs (17%); Viande de porc d'origine britannique cuite (13%);  Bacon fumé (2%) (Viande de porc (86%), Eau, Sels de salaison (Sel, Conservateur: Nitrate de potassium, Nitrite de sodium) ); Oignons; Chorizo de porc (2%) (Viande de porc (90%), Eau, Sels de salaison (Sel, Conservateur : Nitrate de potassium, Nitrite de sodium), _Lait_ en poudre, Paprika, Dextrose, Antioxydant : E301, Noix de muscade, Origan): Beurre (_Lait_); Graisse de poulet; Fécule de mais; Coriandre; Purée d’ail; Persil; Sel; Bouillon de porc (Viande de porc, Os de porc, Eau, Sel, Sucre roux, Fécule de mais, Extrait d'oignon, Extrait d’ail, Purée de tomate);  Gélatine de porc; Épices moulues (Cumin, Poivre noir); Ail fumé déshydraté;"" Origan. ";;;;
Pâté au foie de canard;;100 g;conserve,produit;;en:fish-and-meat-and-eggs,fr:foies-gras,fr:foies-gras-de-canard;;;;;;France;Sugar, glucose syrup, citric acid, artificial flavors, red 40, red 3, yellow 5, yellow 6, blue 1;;;unknown;Poissons et viandes et oeufs
Terrine caille pruneaux d'agen;;130 g;;Le Moulin de Moreau-Sarlat;fr:pate-au-foie-de-canard;;;;;;France;CUCUMBERS, WATER, VINEGAR, SALT, CALCIUM CHLORIDE, 0.1% SODIUM BENZOATE (PRESERVATIVE), NATURAL FLAVORS, POLYSORBATE 80, POTASSIUM METABISULFITE (PRESERVATIVE), YELLOW 5;;;unknown;Pate-au-foie-de-canard
Foie de canard aux figues;;180 g;;Le Moulin de Moreau-Sarlat;;;;;;;France;CUCUMBERS, WATER, VINEGAR, SALT, CALCIUM CHLORIDE, 0.1% SODIUM BENZOATE (PRESERVATIVE), NATURAL FLAVORS, POLYSORBATE 80, YELLOW 5.  ;;;unknown;
Tartina de foie canard pépites figue;;90 g;bocal,verre;;en:fish-and-meat-and-eggs,fr:foies-gras,fr:bloc-de-foie-gras,fr:foies-gras-de-canard;;;;;;France;Sugar, cocoa butter, _milk_, milkfat, chocolate, _lactose, caramelized sugar, skim _milk_, crumbled wafer [_wheat_ flour, rice flour, sugar, leavening (sodium bicarbonate), palm oil], _soya_ lecithin (emulsifier), barley malt powder, artificial flavors. Milk chocolate contains: Cocoa solids 30% min., _Milk_ Solids 20% min.;;;unknown;Poissons et viandes et oeufs
Tartinade de foie gras de canard aux cèpes;;80 g;;;;;;;;;France;Sugar, almond and hazelnut praline (_almonds_, sugar, _hazelnuts_), cocoa butter, _lactose_, palm oil, skim _milk_, _soya_ lecithin (emulsifier), milkfat, _barley_ malt powder, coffee, artificial flavor.;;;;
Foie gras d'oie Périgord;;80 g;;;en:fish-and-meat-and-eggs,fr:foies-gras,fr:foies-gras-de-canard,fr:foie-gras-de-canard-aux-cepes,fr:tartinable-au-foie-gras-de-canard;;;en:green-dot;;;France;Sugar, Maltodextrin, Rice Starch, Natural and Artificial Flavors, Gum Arabic, Magnesium Stearate, Citric Acid, Carnauba Wax, Sucralose, Yellow 5, Blue 1;;;unknown;Poissons et viandes et oeufs
Foie gras d'oie du Périgord;;65 g;conserve;Le Moulin de Moreau Sarlat;en:fish-and-meat-and-eggs,fr:foies-gras,fr:foies-gras-d-oies;;;;;;France;SUGAR, PALM OIL, _HAZELNUTS_, COCOA, SKIM _MILK_, REDUCED MINERALS WHEY (_MILK_), LECITHIN AS EMULSIFIER (_SOY_), VANILLIN: AN ARTIFICIAL FLAVOR.  ;;;unknown;Poissons et viandes et oeufs
Curiously Strong Mints;;100 g;conserve;Le Moulin de Moreau Sarlat;en:fish-and-meat-and-eggs,fr:foies-gras,fr:foies-gras-d-oies;;;;;;France;Sugar, palm oil, _hazelnuts_, cocoa, skim _milk_, reduced minerals whey (_milk_), lecithin as emulsifier (_soja_), vanillin : an artificial flavor.;;;unknown;Poissons et viandes et oeufs
All Buter Belgian White Chocolate Chunk Cookies;Extra Strong Peppermints;50 g;metal,box;Marks & Spencer;en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:culinary-plants,en:aromatic-plants,en:aromatic-herbs,en:mint,fr:bonbons-a-la-menthe;;Pays-Bas,Netherlands;en:point-vert,en:sans-aromes-artificiels,en:sans-colorants-artificiels;Liverpool,United Kingdom;Marks & Spencer;France,Royaume-Uni;Sugar, Palm Oil, _Hazelnuts_, Cocoa, Skim _Milk_, Reduced Minerals Whey (_Milk_), Lecithin as emulsifier (_Soy_), Vanillin;;en:e441;unknown;Condiments
Stem Ginger Dunkers;Cookies au beurre avec des morceaux de chocolat blanc belge;225 g;sachet,plastique,papier;marks&spencer;en:sugary-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies;;Royaume-Uni;en:vegetarian;;;France;SUGAR, PALM OIL, _HAZELNUTS_, COCOA, SKIM MILK, REDUCED MINERALS WHEY (MILK), LECITHIN AS EMULSIFIER (SOY), VANILLIN: AN ARTIFICIAL FLAVOR;;;Sugary snacks;Cookies
M&S Chicken Penang;Cookies au beurre avec du gingembre confit et de l'avoine;320 g;carton;M&S;en:sugary-snacks,en:biscuits-and-cakes,en:biscuits,en:cookies;;;;;;France;Farine de _blé_ contient _Gluten_ (avec Farine de _blé_, Carbonate de calcium, Fer Niacine, Thiamine) - Blanc de poulet d’origine britannique (17%) - Eau - Yaourt à la grecque (_Lait_) - Riz long grain (Eau - Riz long grain - Huile de tournesol - émulsifiant : E471)   Haricots noirs - Épinards - Mangue - Poivrons rouges - Poivrons jaunes - Purée de mangue - Huile de palme - Sucre - Oignons de printemps - Jus de citron vert - Huile de colza - Épices moulues (Gingembre - Anis étoilé - Clous de girofle -  Piment de Cayenne - Cannelle - Graines de fenouil - Poivre noir - Poivre blanc - Cumin) - Fécule de maïs - Huile de tournesol - Miel - Poudre à lever : Bicarbonate de soude, E450 Acide malique - Sel - Piments rouges - Sucre Demerara - Thym · Ail déshydraté - Flocons de paprika - Poudre de piment - Poivre noir concassé - Sel de mer- Persil - déshydraté - Acidifiant : Acide citrique · _Affermissant : E509.;en:nuts;en:e170,en:e375,en:e503,en:e500,en:e450;Sugary snacks;Cookies
M&S Chicken pas thaï;;400 g;;;;;;;;;France;Pork Lung 32%, Beef Fat 25%, Oatmeal 19%, Pork Stock (Water, Pork Lung, Pork Heart), Pork Heart 1.5%, Salt, Dried Onions, Ground Spices (White Pepper, Pimentoes, Mace, Nutmeg, Coriander, Black Pepper), Rapeseed Oil ;;;;
Reduced Fat Mayonnaise;;400 g;;;;;;;;;France;"SUGAR""; CORN SYRUP; PARTIALLY HYDROGENATED PALM KERNEL OIL; WHEY (_MILK_); COCOA; CONTAINS 2% OR LESS OF: MALTED _MILK_ (BARLEY MALT; _WHEAT_ FLOUR; _MILK_; SALT; SODIUM BICARBONATE); RESINOUS GLAZE; sorbitan tristearate; _SOY_ LECITHIN; SALT; NATURAL AND ARTIFICIAL FLAVORS; CALCIUM CARBONATE;"" TAPIOCA DEXTRIN.";;;;
Carrot & Coriander soup;;32 FL OZ (1 QT) 946 mL;;Trader Joe's;en:groceries,en:sauces,en:mayonnaises;;;;;;États-Unis;Organic Grade A Pasteurized _Milk_, Organic Pasteurized _Cream_, Organic Nonfat Pasteurized _Milk_, Organic Strawberries (Organic Cane Sugar, Organic Strawberries, Pectin, Organic Locust Bean Gum, Natural Flavor, Organic Fruit & Vegetable Juice (color), Citric Acid), Organic Cane Sugar, Pectin, Organic Corn Starch, Live Active Cultures.;;;Fat and sauces;Epicerie
Large flat mushrooms;;;;;en:carrot-coriander-soup;;;;;;France;mixed leaves (red multileaf, green multileaf, green batavia, radicchio).;;;unknown;en:Carrot-coriander-soup
Black & White Crispbread Sticks;;250g;plastic,film;Sainsbury's,by sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fresh-foods,en:fruits-and-vegetables-based-foods,en:fresh-plant-based-foods,en:vegetables-based-foods,en:mushrooms-and-their-products,en:mushrooms;;Ireland;;Liverpool,United Kingdom;Sainsbury's;Royaume-Uni;ENRICHED _WHEAT_ FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, _SOYBEAN_ OIL, SALT, CALCIUM PROPIONATE, MONOGLYCERIDES, DIGLYCERIDES, CALCIUM SULFATE, _WHEAT_ _GLUTEN_, DATEM, GRAIN VINEGAR, MONOCALCIUM PHOSPHATE, SOY LECITHIN, CITRIC ACID, CORNSTARCH, CALCIUM IODATE, POTASSIUM IODATE, CALCIUM PHOSPHATE. CONTAINS: SOY, WHEAT. I  ;;;fruits-and-vegetables;Champignons
Apple Pear & Asparagus;;;;Swedish By Nature;;;;en:organic,en:eu-organic,fr:ab-agriculture-biologique;;;France;ENRICHED FLOUR (_WHEAT_ FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, RYE FLOUR, YEAST, VITAL WHEAT GLUTEN, CARAWAY SEEDS. CONTAINS 2% OR LESS OF: SALT, MOLASSES, _SOYBEAN_ OIL, MALTED BARLEY FLOUR, DEXTROSE, CORNMEAL, _SOY_ FLOUR, SODIUM STEAROYL LACTYLATE, CALCIUM PROPIONATE, FUMARIC ACID, LACTIC ACID, ACETIC ACID, CALCIUM SULFATE, AMMONIUM SULFATE, ASCORBIC ACID, ENZYMES. ;;;;
Mehrkomponeneten Protein 90 C6 2,5kg Vanille;;;;Marks and Spencer;;;;;;;France;nuts;;;unknown;
JBL Grano Mix Hauptfutter;Mehrkomponeneten Protein in Vanille Geschmack;2,5 kg;bucket;allfitnessfactory.de;en:proteinpulver,en:proteinshakes;Germany;Germany;;Germany;allfitnessfactory.de;en:Deutschland;ENRICHED _WHEAT_ FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, Niacin, THIAMINE MONONIRATE, RIBOFLAVIN, FOLIC ACID), WATER, HIGH FRUCTOSE CORN SYRUP, YEAST, _SOYBEAN_ OIL, _WHEAT_ _GLUTEN_, SALT, Monoglycerides, Diglycerides, CALCIUM PROPIONATE, DATEM, CALCIUM SULFATE, GRAIN VINEGAR, CITRIC ACID, _SOY_ LECITHIN, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.;en:gluten,en:milk,en:nuts;;unknown;en:Proteinpulver
Bijou Caramel ChocoLait;;;artikel;;;;;;;;France;ORGANIC ROASTED _SOY_ NUTS (ORGANIC _SOYBEANS_, ORGANIC _SOYBEAN_ OIL, SALT).;;;;
Giant cookies triple belgian chocolate;Pâtisseries fourrées au lait et au caramel et nappées de chocolat au lait;740 g (20 étuis individuels);boite-carton,sachet-plastique;Bijou;en:sugary-snacks,en:biscuits-and-cakes,en:desserts,en:cakes,en:pastries,en:chocolate-cakes,fr:gateaux-fourres;;France,87500;en:green-dot,en:made-in-france;France,Nantes;Correspondance;France;INGREDIENTS: PORK, WATER, CORN SYRUP CONTAINS 2% OR LESS 0F: SALT SODIUM LACTATE, BROWN SUGAR TOMATO POWDER, SUGAR, SPICES, MALTODEXTRIN, BOURBON TYPE FLAVOR (ARABIC GUM, NATURAL FLAVOR MEDIUM CHAIN TRIGlYCERIDES), POTASSIUM CHLORIDE, DEHYDRATED GARLIC, SMOKE FLAVOR, NATURAL FLAVOR, CITRICACID, CANOLA 0IL (PROCESS AID), SILICON DIOXIDE (ANTI-CAKING). ;en:nuts;en:e422,en:e440,en:e202,en:e322,en:e503,en:e500,en:e450,en:e471;Sugary snacks;Pâtisseries
M&S Lemon & Parmesan Chicken Tenders;;257 g;;marks and Spencer;;;;;;;France;SUGAR, GELATIN, CONTAINS 2% OR LESS OF: DISODIUM PHOSPHATE, FUMARIC ACID, ADIPIC ACID, NATURAL AND ARTIFICIAL FLAVOR WITH BHA, COLOR (YELLOW 6).;;;;
Scottish shortbread;;;packets;;;;;;;;Royaume-Uni;Green beans, water, salt.;;;;
Masala Ketchup;;;;;en:scottish-shortbread;;;;;;Royaume-Uni;Tomatoes, Tomato juice, Salt, Citric acid, Calcium chloride.;;;unknown;en:Scottish-shortbread
Pizza Parlanno;;;;Mark And Spencer;;;;;;;France;Tomatoes;;;;
Honey roast ham;;1 LB (517 g);box;Trader Giotto's;en:meals,en:pizzas-pies-and-quiches,en:pizzas,en:pizzas-et-tartes-surgelees,en:pizzas-surgelees,en:pizzas-tartes-salees-et-quiches,en:plats-prepares,en:plats-prepares-surgeles,en:surgeles;;;;;;États-Unis;Tomato puree (tomato paste, water), sugar, salt, _soybean_ oil, spices, natural flavor, citric acid.;;;Composite foods;Plats préparés
Cornish Cruncher & Balsamic Onion;morceaux de jambon rôti traité en salaison et cuit avec du miel;120 g;barquette,plastique;Marks & Spencer,M&S;en:charcuteries,en:honey-roast-ham,en:jambons,en:viandes;Royaume-Uni;Royaume-Uni;;France,Paris;Marks & Spencer;France,Royaume-Uni;Water, Organic Garbanzo Beans, Sea Salt;;en:e470;unknown;en:Charcuteries
Infusion du soir decontractante Tailleur de pierre ;;;;M&S;;;;;;;France;milled rice;;;;
Jersey Milk Chocolate;;;;Guédelon;;;;;;;France;Wheat Flour 69.5% (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin and Folic Acid), Water, Cornstarch, Preservatives (E420, E280, E211, E282), Salt, Egg White, Egg Yolk.;;;;
British self raising flour;;;carton;Marks & Spencer;;;;;;Marks and Spencer,Marks and Spencer Food;France;Ingredients: Black Tea;;;unknown;
100% Soja Protein Neutral 2kg;;;;by sainsbury's;;;;;;;Royaume-Uni;"Mincemeat Filling 47% (Apple Purée 19% (Apple Purée, Preservatives Sulphur Dioxide, Potassium Sorbate, Sodium Metablsulphite), Sugar, Raisins 15%, Sultanas 15%, Glucose Syrup, Currants 8%, Humectant""; Vegetable Glycerine, Dextrose, Candied Mixed Peel (Orange Peel, Glucose~Fructose Syrup, Sugar, Lemon Peel, Acidity Regulator: Citric Acid, Preservative: Sulphur Dioxide), Rapeseed Oil, Vegetable Suet (Vegetable Oils (Palm, Sunflower), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamim), Treacle, Mixed Spice (Coriander, Cassis, Ginger, Nutmeg, Caraway, Clove), Acid: Acetic Acid, Flavouring), Fortified Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiarnin), Vegetable Oils (Palm, Rapeseed), Glucose syrup, Butter (Cows’ Milk) 6%, Sugar, Salt, Raising Agents;"" Disodium Diphosphate, Sodium Hydrogen Carbonate";;;unknown;
Le Paris;100% Soja Protein Geschmacksneutral 2kg;2 kg;bucket;allfitnessfactory.de;en:vegan;Germany;Germany;en:vegetarian,en:vegan;Germany;allfitnessfactory.de;en:Deutschland;distilled vinegar, red pepper, salt;en:gluten,en:milk,en:nuts;;unknown;en:Vegan
Pineapple, cucumber, celery, jalapeno + Kale;;;;Fleury Michon;;;;;;;France;vinaigre d'eau-de-vie, piments rouges, sel de cuisine;;;;
Super chicken spinach & quinoa;;;;;;;;;;;Royaume-Uni;Vinagre, chile rojo y sal.;;;;
Pur Soup' Velouté de légumes;;;;;;;;;;;France;Vinaigre, piment jalapeño (30%), eau, sel, amidon modifié, gomme xanthane, antioxydant: acide ascorbique.;;;;
Sparkling British Elderflower Presse;;;;;;;;;;;;Enriched _Wheat_ Flour (Flour, Malted _Barley_ Flour, Reduced Iron, Niacin, Thiamin Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid), Water, High Fructose Corn Syrup, Yeast, _Soybean_ Oil, _Wheat_  _Gluten_, Salt, Monoglycerides, Calcium Propionate (Preservative), Calcium Sulfate, DATEM, Grain Vinegar, Citric Acid, Potassium Iodate, Soy Lecithin, Sesame Seeds, _Soy_ Flour.;;;unknown;
British Rhubarb Presse With Ginger;;;;M&S;;;;;;;États-Unis;Homard (_Crustacé_) (84%), Fromage blanc (_Lait_), Pointes d'asperges (2,5%), Huile de colza, Crème (_Lait_), Jus de citron, Fécule de maïs, Jaune d’_œufs_ de poules élevées en plein air pasteurisés, Sel, Vinaigre, Gélatine de _poisson_, Vinaigre de vin blanc, Sucre, Jus de citron concentré, Graines de _moutarde_ noire.;;;unknown;
British Beef Braising Steak;;600 g;;Marks and spencer;;;;;;;France;Chocolat au lait 45% (sucre, beurre de cacao, poudre de _lait_ entier, pâte de cacao, émulsifiant : lécithines (_soja_), arôme), farine de _blé_, sucre, fructose, _lait_ écrémé en poudre, graisse de coprah, émulsifiant : lécithines (_soja_), sel, colorant : caramel ordinaire.;;;;
Mac 'n Cheese;;;;;;;;;;;Royaume-Uni;Whole rolled _oats_, honey, expeller-pressed canola oil, _almonds_, raisins, sweetened dried cranberries (cranberries, sugar, sunflower oil), coconut (unsulphured), _oat_ bran, _walnuts_, _pecans_, flax seeds, milled _sesame_ seeds, maple syrup;;;;
2 yellowfin tuna steaks;Soupe de légumes;60cl;brique,carton;Liebig;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:meals,en:soups,en:cream-soups,en:vegetable-soups,en:cream-of-vegetable-soups;;France;en:no-colorings,en:no-preservatives,fr:cuisine-en-france;Marseille;U Express;France;Reduced Fat Soft Cheese (_Milk_).;;en:e160a;Fruits and vegetables;Soupes
British Iceberg Lettuce;;;;;;;;;;;Royaume-Uni;Potatoes, vegetable oil (corn oil and/or sunflower oil), seasoning salt, maltodextrin, dextrose, jalapeno pepper, onion powder, torula yeast, monosodium glutamate, cottonseed oil, garlic powder, natural and artificial flavor, modified corn starch and extracts of paprika;;;;
All Butter Croissant;;330 ml;;M&S;;;;;;;États-Unis;POTATOES, VEGETABLE OIL (_PEANUT_ OIL, CORN OIL, OR SUNFLOWER OIL), SALT;;;;
Yellow Mustard;;330 ml;;M&S;;;;;;;France; Dried Vine Fruits 43% (Sultanas, Raisins, Vostizza Currants), Demerara Sugar, Brandy 5%, Vegetable Suet (Palm Oil, Rice Flour, Sunflower Oil), Wheatflour (Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), Brandy Soaked Glacé Cherries 4.5% (Cherries, Brandy, Glucose, Fructose Syrup, Colour: Anthocyanins (from Grapes), Acidity Regulator: Citric Acid), Cognac 4%, Chilean Flame Raisins 3%, Pecan Nuts 3%, Ruby Port 3%, Stout (contains Barley, Gluten) 2.5%, Pasteurised Free Range Eggs, Sugar, Sweetened Dried Cranberries, Humectant: Glycerol, Water, Orange Peel, Split Almonds, Molasses, Single Cream, Spices (Coriander, Cinnamon, Ginger, Nutmeg, Caraway, Cloves), Lemon Peel, Yeast, Salt, Vinegar, Wheat Gluten, Emulsifier: E471, E472e, Sunflower Oil, Rapeseed Oil, Palm Oil, Concentrated Lemon Juice, Flour Treatment Agent: Ascorbic Acid.;;;;
tree ripened papaya;;450 g;tray-plastic,film-plastic;Simply M&S,Marks & Spencer;en:meats,en:beef;United Kingdom;United Kingdom;;United Kingdom,Liverpool;Marks & Spencer;Royaume-Uni;Dried Vine Fruits 43% (Sultanas, Raisins, Vostizza Currants), Demerara Sugar, Brandy 5%, Vegetable Suet (Palm Oil, Rice Flour, Sunflower Oil), Wheatflour (Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), Brandy Soaked Glacé Cherries 4.5% (Cherries, Brandy, Glucose, Fructose Syrup, Colour: Anthocyanins (from Grapes), Acidity Regulator: Citric Acid), Cognac 4%, Chilean Flame Raisins 3%, Pecan Nuts 3%, Ruby Port 3%,  Stout (contains Barley, Gluten) 2.5%, Pasteurised Free Range Eggs, Sugar, Sweetened Dried Cranberries, Humectant: Glycerol, Water, Orange Peel, Split Almonds, Molasses, Single Cream, Spices (Coriander, Cinnamon, Ginger, Nutmeg, Caraway, Cloves), Lemon Peel, Yeast,  Salt,  Vinegar, Wheat Gluten, Emulsifier: E471, E472e, Sunflower Oil, Rapeseed Oil, Palm Oil, Concentrated Lemon Juice, Flour Treatment Agent: Ascorbic Acid.    ;;;Fish Meat Eggs;Viandes
Cantina tortillas;;;;;;;;;;;France;Dried Vine Fruits 43% (Sultanas, Raisins, Vostizza Currants), Demerara Sugar, Brandy 5%, Vegetable Suet (Palm Oil, Rice Flour, Sunflower Oil), Wheatflour (Wheatflour, Calcium Carbonate, Iron, Niacin, Thiamin), Brandy Soaked Glacé Cherries 4.5% (Cherries, Brandy, Glucose, Fructose Syrup, Colour: Anthocyanins (from Grapes), Acidity Regulator: Citric Acid), Cognac 4%, Chilean Flame Raisins 3%, Pecan Nuts 3%, Ruby Port 3%, Stout (contains Barley, Gluten) 2.5%, Pasteurised Free Range Eggs, Sugar, Sweetened Dried Cranberries, Humectant: Glycerol, Water, Orange Peel, Split Almonds, Molasses, Single Cream, Spices (Coriander, Cinnamon, Ginger, Nutmeg, Caraway, Cloves), Lemon Peel, Yeast, Salt, Vinegar, Wheat Gluten, Emulsifier: E471, E472e, Sunflower Oil, Rapeseed Oil, Palm Oil, Concentrated Lemon Juice, Flour Treatment Agent: Ascorbic Acid.;;;;
Barbecue Sauce;;;;;;;;;;;Royaume-Uni;Water, Organic _Soybeans_, Honey;;;unknown;
pressed British pear and blackcurrant juice;;;;;;;;;;;Royaume-Uni;Cocoa Mass, Sugar, Cocoa Butter, Cocoa Powder, Flavouring.;;;;
 ;;397 g;box;Joe's Diner;en:meals,en:microwave-meals;;;;;;États-Unis;Cane sugar, ginger 7%, tapioca starch;en:eggs,en:fish,en:peanuts,en:soybeans,en:shellfish,en:tree-nuts;en:e375,en:e101,en:e509,en:e160,en:e160b;Composite foods;Plats préparés
Pineapple Salsa;;;;;en:beverages,en:alcoholic-beverages,en:wines,en:wines-from-italy,it:aglianico-del-vulture;;;;;;France;Carbonated water, sugar, caramel color, phosphoric acid, caffeine, citric acid, natural flavor;;;;Boissons
Rollmop Herrings;;1;plastic-film;Sainsbury's;en:plant-based-foods-and-beverages,en:plant-based-foods,en:fresh-foods,en:fruits-and-vegetables-based-foods,en:fresh-plant-based-foods,en:vegetables-based-foods,en:fresh-vegetables,en:leaf-vegetables,en:lettuces;;;;Liverpool,UK;Sainsbury's;Royaume-Uni;Carbonated Water, High Fructose Corn Syrup, Citric Acid, Natural Flavor, Taurine, Guarana Seed Extract, Sodium Benzoate, Sodium Hexametaphosphate, Citrus Pectin, Caffeine, Gum Arabic, Niacinamide, Sucralose, Calcium Pantothenate, Panax Ginseng Root Extract, Yerba Mate Extract, Red 40, Calcium Disodium EDTA, Brominated Vegetable, Oil, Riboflavin;;;Fruits and vegetables;Légumes frais
Creamy Chicken Pie;;;;Marks And Spencer;;;;;;;France;CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP,  NATURAL AND ARTIFICIAL FLAVOR, CITRIC ACID, SODIUM BENZOATE (PRESERVES FRESHNESS), CAFFEINE, GUM ARABIC, SODIUM CITRATE, CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR), SUCROSE ACETATE, ISOBUTYRATE, YELLOW 5, BLUE 1.;;;;
Sauce bolognaise;;9 OZ (25.5g);;Heinz;en:groceries,en:condiments,en:sauces,en:mustards;;;;Chicago,Illinois,USA;7eleven;États-Unis;carbonated water, sugar, caramel color, natural flavor, phosphoric acid, sodium citrate, caffeine, potassium sorbate (preserves freshness), modified food starch,, kola nut extract, ginger oleoresin;;en:e100;Fat and sauces;Condiments
